user_id,user_qa_name,resume_filename,resume_number,resume_category
36,User_qa_1,1029_DotNet Developer.pdf,1029,DotNet Developer
37,User_qa_2,1030_DotNet Developer.pdf,1030,DotNet Developer
38,User_qa_3,1036_DotNet Developer.pdf,1036,DotNet Developer
39,User_qa_4,1037_DotNet Developer.pdf,1037,DotNet Developer
40,User_qa_5,1043_DotNet Developer.pdf,1043,DotNet Developer
41,User_qa_6,767_Python Developer.pdf,767,Python Developer
42,User_qa_7,782_Python Developer.pdf,782,Python Developer
43,User_qa_8,786_Python Developer.pdf,786,Python Developer
44,User_qa_9,792_Python Developer.pdf,792,Python Developer
45,User_qa_10,797_Python Developer.pdf,797,Python Developer
