user_id,resume_path,document_type,filename
68,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/355_Web Designing.pdf,resume,355_Web Designing.pdf
69,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/360_Web Designing.pdf,resume,360_Web Designing.pdf
70,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/367_Web Designing.pdf,resume,367_Web Designing.pdf
71,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/372_Web Designing.pdf,resume,372_Web Designing.pdf
72,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/375_Web Designing.pdf,resume,375_Web Designing.pdf
73,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/380_Web Designing.pdf,resume,380_Web Designing.pdf
74,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/385_Web Designing.pdf,resume,385_Web Designing.pdf
104,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/858_Network Security Engineer.pdf,resume,858_Network Security Engineer.pdf
106,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/863_Network Security Engineer.pdf,resume,863_Network Security Engineer.pdf
109,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/869_Network Security Engineer.pdf,resume,869_Network Security Engineer.pdf
110,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/873_Network Security Engineer.pdf,resume,873_Network Security Engineer.pdf
